readset_id,run_id,sample_id,filename1,filename2,quality_status
74,4,74,,,good
78,2,78,,,good
79,2,79,,,good
75,4,75,,,good
103,4,103,,,good
63,4,63,,,good
65,4,65,,,good
85,2,85,,,good
72,2,72,,,good
101,2,101,,,good
111,4,111,,,good
90,4,90,,,good
92,2,92,,,good
82,2,82,,,good
95,4,95,,,good
88,4,88,,,good
94,4,94,,,good
97,4,97,,,good
84,4,84,,,good
118,4,118,,,good
99,4,99,,,good
113,4,113,,,good
70,4,70,,,good
106,4,106,,,good
122,4,122,,,good
115,4,115,,,good
110,4,110,,,good
107,4,107,,,good
123,4,123,,,good
119,4,119,,,good
125,4,125,,,good
169,4,169,,,good
160,4,160,,,good
131,4,131,,,good
147,2,147,,,good
143,4,143,,,good
157,4,157,,,good
153,4,153,,,good
150,2,150,,,good
141,4,141,,,good
73,4,73,,,good
77,2,77,,,good
80,2,80,,,good
76,4,76,,,good
104,4,104,,,good
64,4,64,,,good
66,2,66,,,good
86,4,86,,,good
71,4,71,,,good
102,2,102,,,good
112,4,112,,,good
89,4,89,,,good
91,4,91,,,good
81,4,81,,,good
96,4,96,,,good
87,2,87,,,good
93,2,93,,,good
98,2,98,,,good
83,4,83,,,good
117,4,117,,,good
100,2,100,,,good
114,2,114,,,good
69,4,69,,,good
105,4,105,,,good
121,4,121,,,good
116,2,116,,,good
109,4,109,,,good
108,4,108,,,good
124,4,124,,,good
120,2,120,,,good
126,4,126,,,good
170,4,170,,,good
159,4,159,,,good
132,4,132,,,good
148,4,148,,,good
144,2,144,,,good
158,4,158,,,good
154,2,154,,,good
149,4,149,,,good
142,4,142,,,good
201,2,201,,,good
205,2,205,,,good
206,2,206,,,good
209,2,209,,,good
210,2,210,,,good
212,2,212,,,good
214,2,214,,,good
216,2,216,,,good
221,2,221,,,good
222,2,222,,,good
224,2,224,,,good
226,2,226,,,good
228,2,228,,,good
231,2,231,,,good
232,4,232,,,good
234,2,234,,,good
236,2,236,,,good
239,2,239,,,good
241,2,241,,,good
243,2,243,,,good
247,2,247,,,good
248,2,248,,,good
250,2,250,,,good
253,2,253,,,good
254,2,254,,,good
257,2,257,,,good
259,2,259,,,good
261,2,261,,,good
263,2,263,,,good
265,2,265,,,good
267,2,267,,,good
268,2,268,,,good
271,2,271,,,good
273,2,273,,,good
274,2,274,,,good
276,2,276,,,good
279,2,279,,,good
281,2,281,,,good
283,2,283,,,good
285,2,285,,,good
287,2,287,,,good
288,2,288,,,good
291,2,291,,,good
292,2,292,,,good
296,2,296,,,good
299,2,299,,,good
301,2,301,,,good
302,2,302,,,good
200,2,200,,,good
204,2,204,,,good
207,2,207,,,good
208,2,208,,,good
211,2,211,,,good
213,2,213,,,good
215,2,215,,,good
217,2,217,,,good
220,2,220,,,good
223,2,223,,,good
225,2,225,,,good
227,2,227,,,good
229,2,229,,,good
230,2,230,,,good
233,4,233,,,good
235,2,235,,,good
237,2,237,,,good
238,2,238,,,good
240,2,240,,,good
242,2,242,,,good
246,2,246,,,good
249,2,249,,,good
251,2,251,,,good
252,2,252,,,good
255,2,255,,,good
256,2,256,,,good
258,2,258,,,good
260,2,260,,,good
262,2,262,,,good
264,2,264,,,good
266,2,266,,,good
269,2,269,,,good
270,2,270,,,good
272,2,272,,,good
275,2,275,,,good
277,2,277,,,good
278,2,278,,,good
280,2,280,,,good
282,2,282,,,good
284,2,284,,,good
286,2,286,,,good
289,2,289,,,good
290,2,290,,,good
293,2,293,,,good
297,2,297,,,good
298,2,298,,,good
300,2,300,,,good
303,2,303,,,good
334,3,334,,,good
336,3,336,,,good
338,3,338,,,good
342,3,342,,,good
344,3,344,,,good
346,3,346,,,good
348,3,348,,,good
350,3,350,,,good
352,3,352,,,good
354,3,354,,,good
357,3,357,,,good
358,3,358,,,good
360,3,360,,,good
364,3,364,,,good
366,3,366,,,good
368,3,368,,,good
370,3,370,,,good
374,3,374,,,good
376,3,376,,,good
378,3,378,,,good
380,3,380,,,good
382,3,382,,,good
384,3,384,,,good
386,3,386,,,good
388,3,388,,,good
390,3,390,,,good
392,3,392,,,good
394,3,394,,,good
396,3,396,,,good
401,3,401,,,good
402,3,402,,,good
404,3,404,,,good
406,3,406,,,good
408,3,408,,,good
335,3,335,,,good
337,3,337,,,good
339,3,339,,,good
343,3,343,,,good
345,3,345,,,good
347,3,347,,,good
349,3,349,,,good
351,3,351,,,good
353,3,353,,,good
355,3,355,,,good
356,3,356,,,good
359,3,359,,,good
361,3,361,,,good
365,3,365,,,good
367,3,367,,,good
369,3,369,,,good
371,3,371,,,good
375,3,375,,,good
377,3,377,,,good
379,3,379,,,good
381,3,381,,,good
383,3,383,,,good
385,3,385,,,good
387,3,387,,,good
389,3,389,,,good
391,3,391,,,good
393,3,393,,,good
395,3,395,,,good
397,3,397,,,good
400,3,400,,,good
403,3,403,,,good
405,3,405,,,good
407,3,407,,,good
409,3,409,,,good
45,2,45,,,good
37,2,37,,,good
41,2,41,,,good
47,2,47,,,good
39,2,39,,,good
43,2,43,,,good
33,2,33,,,good
25,2,25,,,good
15,2,15,,,good
23,2,23,,,good
17,2,17,,,good
27,4,27,,,good
29,2,29,,,good
35,2,35,,,good
31,4,31,,,good
21,2,21,,,good
5,2,5,,,good
9,2,9,,,good
13,4,13,,,good
7,2,7,,,good
11,2,11,,,good
1,2,1,,,good
59,4,59,,,good
61,4,61,,,good
53,4,53,,,good
57,4,57,,,good
55,4,55,,,good
49,2,49,,,good
51,2,51,,,good
310,2,310,,,good
312,2,312,,,good
306,3,306,,,good
324,3,324,,,good
304,3,304,,,good
308,3,308,,,good
332,3,332,,,good
328,2,328,,,good
314,2,314,,,good
320,3,320,,,good
316,2,316,,,good
322,3,322,,,good
330,2,330,,,good
326,2,326,,,good
46,2,46,,,good
38,4,38,,,good
42,4,42,,,good
48,4,48,,,good
40,2,40,,,good
44,4,44,,,good
34,4,34,,,good
26,2,26,,,good
16,4,16,,,good
24,2,24,,,good
18,2,18,,,good
28,4,28,,,good
30,2,30,,,good
36,2,36,,,good
32,2,32,,,good
22,4,22,,,good
6,2,6,,,good
10,2,10,,,good
14,4,14,,,good
8,2,8,,,good
12,2,12,,,good
2,2,2,,,good
60,4,60,,,good
62,4,62,,,good
54,4,54,,,good
58,2,58,,,good
56,4,56,,,good
50,2,50,,,good
52,2,52,,,good
311,2,311,,,good
313,2,313,,,good
307,3,307,,,good
325,3,325,,,good
305,3,305,,,good
309,3,309,,,good
333,3,333,,,good
329,2,329,,,good
315,2,315,,,good
321,3,321,,,good
317,2,317,,,good
323,3,323,,,good
331,2,331,,,good
327,2,327,,,good
411,3,411,,,good
412,3,412,,,good
414,3,414,,,good
418,3,418,,,good
420,3,420,,,good
422,3,422,,,good
426,3,426,,,good
429,3,429,,,good
430,3,430,,,good
432,3,432,,,good
434,3,434,,,good
438,3,438,,,good
440,3,440,,,good
442,3,442,,,good
445,3,445,,,good
476,3,476,,,good
478,3,478,,,good
480,3,480,,,good
482,3,482,,,good
484,3,484,,,good
486,4,486,,,good
488,3,488,,,good
490,4,490,,,good
492,4,492,,,good
494,4,494,,,good
502,4,502,,,good
2.26.1,6,2.26.1,,,good
2.45.1,6,2.45.1,,,good
2.52.1,6,2.52.1,,,good
2.55.1,6,2.55.1,,,good
