sample_id,group_id,quality_status
74,EE_1,good
78,EE_1,good
79,EE_1,good
75,EE_1,good
103,EE_1,good
63,EE_1,good
65,EE_1,good
85,EE_1,good
72,EE_1,good
101,EE_1,good
111,EE_1,good
90,EE_1,good
92,EE_1,good
82,EE_1,good
95,EE_1,good
88,EE_1,good
94,EE_1,good
97,EE_1,good
84,EE_1,good
118,EE_1,good
99,EE_1,good
113,EE_1,good
70,EE_1,good
106,EE_1,good
122,EE_1,good
115,EE_1,good
110,EE_1,good
107,EE_1,good
123,EE_1,good
119,EE_1,good
125,EE_1,good
169,EE_1,good
160,EE_1,good
131,EE_1,good
147,EE_1,good
143,EE_1,good
157,EE_1,good
153,EE_1,good
150,EE_1,good
141,EE_1,good
201,KA_1,good
205,KA_1,good
206,KA_1,good
209,KA_1,good
210,KA_1,good
212,KA_1,good
214,KA_1,good
216,KA_1,good
221,KA_1,good
222,KA_1,good
224,KA_1,good
226,KA_1,good
228,KA_1,good
231,KA_1,good
232,KA_1,good
234,KA_1,good
236,KA_1,good
239,KA_1,good
241,KA_1,good
243,KA_1,good
247,KA_1,good
248,KA_1,good
250,KA_1,good
253,KA_1,good
254,KA_1,good
257,KA_1,good
259,KA_1,good
261,KA_1,good
263,KA_1,good
265,KA_1,good
267,KA_1,good
268,KA_1,good
271,KA_1,good
273,KA_1,good
274,KA_1,good
276,KA_1,good
279,KA_1,good
281,KA_1,good
283,KA_1,good
285,KA_1,good
287,KA_1,good
288,KA_1,good
291,KA_1,good
292,KA_1,good
296,KA_1,good
299,KA_1,good
301,KA_1,good
302,KA_1,good
73,EE_2,good
77,EE_2,good
80,EE_2,good
76,EE_2,good
104,EE_2,good
64,EE_2,good
66,EE_2,good
86,EE_2,good
71,EE_2,good
102,EE_2,good
112,EE_2,good
89,EE_2,good
91,EE_2,good
81,EE_2,good
96,EE_2,good
87,EE_2,good
93,EE_2,good
98,EE_2,good
83,EE_2,good
117,EE_2,good
100,EE_2,good
114,EE_2,good
69,EE_2,good
105,EE_2,good
121,EE_2,good
116,EE_2,good
109,EE_2,good
108,EE_2,good
124,EE_2,good
120,EE_2,good
126,EE_2,good
170,EE_2,good
159,EE_2,good
132,EE_2,good
148,EE_2,good
144,EE_2,good
158,EE_2,good
154,EE_2,good
149,EE_2,good
142,EE_2,good
200,KA_2,good
204,KA_2,good
207,KA_2,good
208,KA_2,good
211,KA_2,good
213,KA_2,good
215,KA_2,good
217,KA_2,good
220,KA_2,good
223,KA_2,good
225,KA_2,good
227,KA_2,good
229,KA_2,good
230,KA_2,good
233,KA_2,good
235,KA_2,good
237,KA_2,good
238,KA_2,good
240,KA_2,good
242,KA_2,good
246,KA_2,good
249,KA_2,good
251,KA_2,good
252,KA_2,good
255,KA_2,good
256,KA_2,good
258,KA_2,good
260,KA_2,good
262,KA_2,good
264,KA_2,good
266,KA_2,good
269,KA_2,good
270,KA_2,good
272,KA_2,good
275,KA_2,good
277,KA_2,good
278,KA_2,good
280,KA_2,good
282,KA_2,good
284,KA_2,good
286,KA_2,good
289,KA_2,good
290,KA_2,good
293,KA_2,good
297,KA_2,good
298,KA_2,good
300,KA_2,good
303,KA_2,good
411,EKOK_1,good
412,EKOK_1,good
414,EKOK_1,good
418,EKOK_1,good
420,EKOK_1,good
422,EKOK_1,good
426,EKOK_1,good
429,EKOK_1,good
430,EKOK_1,good
432,EKOK_1,good
434,EKOK_1,good
438,EKOK_1,good
440,EKOK_1,good
442,EKOK_1,good
445,EKOK_1,good
476,EKOK_1,good
478,EKOK_1,good
480,EKOK_1,good
482,EKOK_1,good
484,EKOK_1,good
486,EKOK_1,good
488,EKOK_1,good
490,EKOK_1,good
492,EKOK_1,good
494,EKOK_1,good
502,EKOK_1,good
2.26.1,EKOK_1,good
2.45.1,EKOK_1,good
2.52.1,EKOK_1,good
2.55.1,EKOK_1,good
2.76.1,EKOK_1,good
2.79.1,EKOK_1,good
2.199.1,EKOK_1,good
2.503.1,EKOK_1,good
2.504.1,EKOK_1,good
2.510.1,EKOK_1,good
2.25.1,EKOK_1,good
446,AMO_1,good
448,AMO_1,good
450,AMO_1,good
452,AMO_1,good
454,AMO_1,good
456,AMO_1,good
458,AMO_1,good
462,AMO_1,good
464,AMO_1,good
466,AMO_1,good
468,AMO_1,good
472,AMO_1,good
474,AMO_1,good
506,AMO_1,good
508,AMO_1,good
510,AMO_1,good
512,AMO_1,good
514,AMO_1,good
518,AMO_1,good
522,AMO_1,good
526,AMO_1,good
528,AMO_1,good
1.7.1,AMO_1,good
1.49.1,AMO_1,good
1.72.1,AMO_1,good
1.97.1,AMO_1,good
1.121.1,AMO_1,good
1.153.1,AMO_1,good
1.155.1,AMO_1,good
1.203.1,AMO_1,good
1.507.1,AMO_1,good
1.511.1,AMO_1,good
1.68.1,AMO_1,good
1.506.1,AMO_1,good
410,EKOK_2,good
413,EKOK_2,good
415,EKOK_2,good
419,EKOK_2,good
421,EKOK_2,good
423,EKOK_2,good
427,EKOK_2,good
428,EKOK_2,good
431,EKOK_2,good
433,EKOK_2,good
435,EKOK_2,good
439,EKOK_2,good
441,EKOK_2,good
443,EKOK_2,good
444,EKOK_2,good
477,EKOK_2,good
479,EKOK_2,good
481,EKOK_2,good
483,EKOK_2,good
485,EKOK_2,good
487,EKOK_2,good
489,EKOK_2,good
491,EKOK_2,good
493,EKOK_2,good
495,EKOK_2,good
503,EKOK_2,good
2.26.2,EKOK_2,good
2.45.2,EKOK_2,good
2.52.2,EKOK_2,good
2.55.2,EKOK_2,good
2.76.2,EKOK_2,good
2.79.2,EKOK_2,good
2.199.2,EKOK_2,good
2.503.2,EKOK_2,good
