Taxon	1.49.1	1.203.2	2.55.2	2.55.1	2.26.1	1.155.2	2.52.2	1.49.2	2.52.1	1.506.2	1.97.1	1.7.1	1.68.1	1.97.2	1.511.2	1.121.2	2.510.2	2.503.1	2.510.1	1.153.2	2.503.2	2.79.2	1.68.2	1.506.1	1.7.2	1.72.1	2.79.1	2.157.2	1.511.1	1.121.1	1.153.1	2.504.1	2.26.2	2.25.2	2.199.1	2.504.2	2.25.1	2.76.1	2.76.2	1.72.2	2.45.1	1.203.1	2.45.2	1.155.1	2.199.2	1.507.1	1.507.2
k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	67.0	0.0	0.0	9.0	0.0	0.0	4.0	0.0	7.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	9.0	0.0	0.0	0.0	189.0	15.0	0.0	0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	15.0	0.0	1.0	0.0	0.0	1.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales	2.0	10.0	16.0	71.0	70.0	118.0	19.0	16.0	40.0	66.0	199.0	50.0	0.0	149.0	17.0	150.0	12.0	52.0	215.0	62.0	0.0	25.0	0.0	73.0	30.0	40.0	57.0	18.0	2.0	55.0	4.0	2.0	2.0	10.0	18.0	1.0	405.0	47.0	15.0	320.0	0.0	438.0	1.0	562.0	594.0	4.0	6.0
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales	3.0	0.0	0.0	6.0	22.0	14.0	16.0	22.0	2.0	9.0	28.0	52.0	14.0	24.0	35.0	23.0	0.0	6.0	31.0	3.0	1.0	7.0	106.0	36.0	3.0	4.0	5.0	1.0	2.0	6.0	1.0	0.0	0.0	3.0	0.0	1.0	25.0	2.0	0.0	7.0	0.0	83.0	0.0	12.0	9.0	0.0	1.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	1844.0	3.0	2831.0	2382.0	201.0	605.0	625.0	2110.0	1074.0	2893.0	1271.0	1440.0	2135.0	326.0	1773.0	244.0	1947.0	1904.0	586.0	2546.0	3055.0	1237.0	959.0	2128.0	2482.0	733.0	1466.0	2888.0	2993.0	480.0	2722.0	3430.0	2914.0	3380.0	3099.0	2167.0	1119.0	2534.0	3168.0	780.0	1.0	118.0	11.0	274.0	380.0	3167.0	2746.0
k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2	13.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	1.0	0.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta	5.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	4.0	0.0	0.0	2.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales	0.0	5.0	0.0	0.0	11.0	4.0	4.0	0.0	6.0	1.0	0.0	0.0	0.0	2.0	0.0	4.0	1.0	3.0	0.0	5.0	2.0	2.0	9.0	0.0	1.0	0.0	2.0	2.0	0.0	3.0	1.0	0.0	0.0	3.0	1.0	3.0	5.0	0.0	0.0	3.0	1.0	25.0	5.0	5.0	7.0	2.0	1.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales	11.0	348.0	1.0	59.0	7.0	3.0	51.0	1.0	2.0	14.0	58.0	11.0	57.0	18.0	29.0	35.0	4.0	22.0	2.0	9.0	1.0	37.0	49.0	6.0	12.0	3.0	0.0	1.0	1.0	52.0	2.0	0.0	0.0	3.0	1.0	2.0	27.0	9.0	8.0	3.0	117.0	312.0	614.0	2.0	2.0	9.0	29.0
