Taxon	1.49.1	1.203.2	2.55.2	2.55.1	2.26.1	1.155.2	2.52.2	1.49.2	2.52.1	1.506.2	1.97.1	1.7.1	1.68.1	1.97.2	1.511.2	1.121.2	2.510.2	2.503.1	2.510.1	1.153.2	2.503.2	2.79.2	1.68.2	1.506.1	1.7.2	1.72.1	2.79.1	2.157.2	1.511.1	1.121.1	1.153.1	2.504.1	2.26.2	2.25.2	2.199.1	2.504.2	2.25.1	2.76.1	2.76.2	1.72.2	2.45.1	1.203.1	2.45.2	1.155.1	2.199.2	1.507.1	1.507.2
k__Archaea; p__Euryarchaeota; c__Methanobacteria	0.0	0.0	0.0	0.0	0.0	0.00175	0.0	0.0	0.0	0.0	0.01675	0.0	0.0	0.00225	0.0	0.0	0.001	0.0	0.00175	0.0	0.0	0.00175	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005	0.0	0.0	0.00025	0.0	0.00225	0.0	0.0	0.0	0.04725	0.00375	0.0	0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria	0.00075	0.0025	0.004	0.01775	0.0175	0.0295	0.00475	0.004	0.01	0.0165	0.04975	0.0125	0.0	0.03725	0.00425	0.03775	0.003	0.013	0.05375	0.0155	0.0	0.0065	0.0	0.0185	0.0075	0.01	0.01425	0.00475	0.0005	0.014	0.001	0.0005	0.0005	0.0025	0.0045	0.00025	0.1015	0.01175	0.00375	0.08025	0.00025	0.11325	0.00025	0.14075	0.1485	0.001	0.00175
k__Bacteria; p__Actinobacteria; c__Coriobacteriia	0.00075	0.0	0.0	0.0015	0.0055	0.0035	0.004	0.0055	0.0005	0.00225	0.007	0.013	0.0035	0.006	0.00875	0.00575	0.0	0.0015	0.00775	0.00075	0.00025	0.00175	0.0265	0.009	0.00075	0.001	0.00125	0.00025	0.0005	0.0015	0.00025	0.0	0.0	0.00075	0.0	0.00025	0.00625	0.0005	0.0	0.00175	0.0	0.02075	0.0	0.003	0.00225	0.0	0.00025
k__Bacteria; p__Bacteroidetes; c__Bacteroidia	0.461	0.00075	0.70775	0.5955	0.05025	0.15125	0.15625	0.5275	0.2685	0.72325	0.31775	0.36	0.53375	0.0815	0.44325	0.061	0.48675	0.476	0.1465	0.6365	0.76375	0.30925	0.23975	0.532	0.6205	0.18325	0.3665	0.722	0.74825	0.12	0.6805	0.8575	0.7285	0.845	0.77475	0.54175	0.27975	0.6335	0.792	0.195	0.00025	0.0295	0.00275	0.0685	0.095	0.79175	0.6865
k__Bacteria; p__Cyanobacteria; c__4C0d-2	0.00325	0.0	0.0	0.0	0.0	0.0	0.0	0.00225	0.0	0.0	0.0	0.00025	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01125	0.0	0.0	0.0	0.0	0.0	0.0	0.00075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Cyanobacteria; c__Chloroplast	0.00125	0.00025	0.0	0.0	0.00025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00025	0.0	0.0	0.0	0.0	0.0005	0.00025	0.0	0.00025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00025	0.00025	0.00025	0.001	0.0	0.0	0.0005	0.0	0.0
k__Bacteria; p__Firmicutes; c__Bacilli	0.00275	0.08825	0.00025	0.015	0.0045	0.00175	0.01375	0.0005	0.002	0.00425	0.0145	0.00275	0.01425	0.005	0.0075	0.00975	0.0015	0.0065	0.0005	0.0035	0.00075	0.0105	0.01475	0.00175	0.00325	0.0025	0.0005	0.00075	0.0005	0.014	0.00075	0.0	0.0	0.0015	0.0005	0.00125	0.00825	0.00225	0.002	0.0015	0.0295	0.0845	0.15475	0.00175	0.00225	0.00275	0.0075
k__Bacteria; p__Firmicutes; c__Clostridia	0.306	0.03625	0.1365	0.327	0.80725	0.73675	0.36875	0.42675	0.6575	0.2225	0.44725	0.52475	0.2405	0.73675	0.43575	0.47825	0.43575	0.4415	0.2385	0.206	0.1585	0.5785	0.60075	0.3355	0.243	0.716	0.447	0.22375	0.2235	0.796	0.23975	0.13025	0.25675	0.118	0.08825	0.25475	0.5205	0.21425	0.13825	0.69275	0.002	0.6945	0.613	0.3445	0.18925	0.057	0.08
k__Bacteria; p__Firmicutes; c__Erysipelotrichi	0.0255	0.00025	0.008	0.00325	0.02	0.00475	0.02425	0.0055	0.004	0.00125	0.08925	0.0095	0.0115	0.02525	0.00425	0.01025	0.00925	0.00375	0.0575	0.01125	0.0005	0.01425	0.07375	0.004	0.013	0.01125	0.017	0.001	0.00425	0.02475	0.002	0.0015	0.0005	0.00075	0.003	0.002	0.07625	0.0015	0.0095	0.023	0.0	0.013	0.158	0.003	0.00425	0.00275	0.00425
k__Bacteria; p__Fusobacteria; c__Fusobacteriia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
