Taxon	v3.Len.15	v3.Len.27	v3.Len.18	v3.Len.33	v3.Len.31	v3.Len.29	v3.Len.04	v3.Len.23	v3.Len.11	v3.Len.32	v3.Len.30	v3.Len.07	v3.Len.35	v3.Len.34	v3.Len.38	v3.Len.37	v3.Len.19	v3.Len.20	v3.Len.01	v3.Len.28	v3.Len.05	v3.Len.22	v3.Len.21	v3.Len.12	v3.Len.02	v3.Len.36	v3.Len.24	v3.Len.08	v3.Len.03	v3.Len.06	v3.Len.17	v3.Len.16
k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales	0.0	0.0	0.0	0.0	0.0	0.0021186440678	0.0	0.0	0.0	0.0034965034965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00162074554295	0.0	0.0	0.0	0.0	0.00293255131965	0.0	0.0	0.0	0.0	0.0015503875969	0.0	0.0	0.0	0.0	0.0	0.00384615384615	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales	0.130177514793	0.0462555066079	0.0569105691057	0.0	0.0647948164147	0.0254237288136	0.0597826086957	0.0	0.0863787375415	0.0699300699301	0.00162074554295	0.0890151515152	0.011811023622	0.0	0.0313725490196	0.08357771261	0.0190476190476	0.0	0.0	0.0141129032258	0.0046511627907	0.0467091295117	0.0	0.0877659574468	0.17695473251	0.0230414746544	0.157692307692	0.0	0.354166666667	0.00299401197605	0.00662251655629	0.0
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales	0.00118343195266	0.0264317180617	0.0271002710027	0.0	0.0194384449244	0.00847457627119	0.0126811594203	0.0	0.00498338870432	0.0314685314685	0.0210696920583	0.00189393939394	0.0	0.00176991150442	0.0274509803922	0.024926686217	0.0031746031746	0.0	0.0	0.00201612903226	0.0	0.00849256900212	0.0	0.00265957446809	0.0082304526749	0.036866359447	0.0	0.0	0.00320512820513	0.0	0.00662251655629	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	0.301775147929	0.00660792951542	0.00271002710027	0.524590163934	0.0129589632829	0.00423728813559	0.326086956522	0.0	0.207641196013	0.0174825174825	0.0	0.0814393939394	0.0314960629921	0.614159292035	0.0254901960784	0.153958944282	0.0174603174603	0.0	0.10182767624	0.0927419354839	0.0015503875969	0.0552016985138	0.0281690140845	0.0478723404255	0.172839506173	0.0	0.00384615384615	0.0454545454545	0.157051282051	0.0	0.105960264901	0.1
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00293255131965	0.0	0.0	0.00522193211488	0.00403225806452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00160256410256	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales	0.00118343195266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00166112956811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015873015873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales	0.0639053254438	0.0154185022026	0.0271002710027	0.0437158469945	0.0129589632829	0.0148305084746	0.0217391304348	0.0162601626016	0.014950166113	0.0174825174825	0.0178282009724	0.00568181818182	0.00393700787402	0.0477876106195	0.00196078431373	0.0263929618768	0.192063492063	0.239130434783	0.0130548302872	0.395161290323	0.947286821705	0.0297239915074	0.183098591549	0.00797872340426	0.0267489711934	0.00921658986175	0.00384615384615	0.0227272727273	0.0304487179487	0.00898203592814	0.0	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales	0.0	0.0	0.00271002710027	0.0	0.00215982721382	0.0021186440678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00261096605744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0018115942029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.428402366864	0.854625550661	0.810298102981	0.409836065574	0.835853131749	0.900423728814	0.559782608696	0.341463414634	0.669435215947	0.811188811189	0.936790923825	0.795454545455	0.858267716535	0.30796460177	0.872549019608	0.596774193548	0.469841269841	0.717391304348	0.00522193211488	0.433467741935	0.0077519379845	0.834394904459	0.211267605634	0.382978723404	0.524691358025	0.889400921659	0.230769230769	0.0	0.322115384615	0.00299401197605	0.860927152318	0.25
